digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,16.061319833999733,16.061319833999733,return,2.700025291007478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,,,,,,,,,,,,,,,,,,,,,,,,18.796444749998045,18.796444749998045,return,0.4243730830057757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23910116699699,19.23910116699699,return,0.42708149999089073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.68885108399263,19.68885108399263,return,0.6979743340052664,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
3,342,243,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.405454041989287,25.405310166999698,25.405310166999698,26.40516574999492,26.40516574999492,26.40516574999492,26.40516574999492,-0.00040129199624061584,234,0,-0.0044444444444444444,-0.4122222222222222,1,0,0,cont_buttonPractice,31.005322791999788,32.00552283399156,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
3,937,739,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.00565291699604,37.00580504199024,37.00580504199024,38.00563816700014,38.00563816700014,38.00563816700014,38.00563816700014,0.014026499993633479,937,1,0.025555555555555557,-0.37222222222222223,1,0,0,cont_buttonPractice,41.22260916700179,42.223534708988154,,,,,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.223534708988154,42.223534708988154,return,3.7698439590021735,,,,,,001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.02480524999555,47.02289991699217,47.039520041988,48.02272362499207,"[6, 3, 2]",001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,1,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.02272362499207,49.02290354199067,49.02290354199067,50.02299037500052,"[6, 3, 2]",001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
,,,1,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.02299037500052,51.02320612499898,51.02320612499898,,"[6, 3, 2]",001,2025-07-25_18h05.46.291,CGTriskyDMtask,2022.2.1,60.488932039029585,
