digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07630779199826,17.07630779199826,return,0.6831362079974497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.800566459001857,17.800566459001857,return,0.107109708013013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.925990917006857,17.925990917006857,return,0.1358564170077443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.092400499997893,18.092400499997893,return,0.10318045801250264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
3,342,243,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.209378041996388,23.20998079200217,23.20998079200217,24.20917833400017,24.20917833400017,24.20917833400017,24.20917833400017,0.015433958993526176,342,1,-0.035555555555555556,-0.39111111111111113,1,0,0,cont_buttonPractice,33.77650979200553,34.77738275000593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
3,937,739,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77670937500079,39.77679045900004,39.77679045900004,40.77676070900634,40.77676070900634,40.77676070900634,40.77676070900634,0.013401874995906837,937,1,-0.0022222222222222222,-0.3988888888888889,1,0,0,cont_buttonPractice,44.526786625006935,45.526681083996664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.526681083996664,45.526681083996664,return,47.37764049900579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.93312266700377,93.92880879199947,93.9457032920036,94.928962667007,"[8, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,1,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.928962667007,95.92980266700033,95.92980266700033,96.92883725000138,"[8, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,1,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.92883725000138,97.92940583400195,97.92940583400195,98.92890858399915,"[8, 4, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
