digitSpanForward,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,trialsBS.thisRepN,trialsBS.thisTrialN,trialsBS.thisN,trialsBS.thisIndex,digitLoopBS.thisRepN,digitLoopBS.thisTrialN,digitLoopBS.thisN,digitLoopBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,fixation.stopped,presentation_text.started,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,fixation_3.stopped,pres_text_practice_2.started,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,mousePractice_2.x,mousePractice_2.y,mousePractice_2.leftButton,mousePractice_2.midButton,mousePractice_2.rightButton,mousePractice_2.clicked_name,feedbac_textPractice_2.started,feedbac_textPractice_2.stopped,praccompleteBS.started,startBSreal.started,startBSreal.keys,startBSreal.rt,fixationBS.started,presentation_textBS.started,fixationBS.stopped,presentation_textBS.stopped,recall_txtBS.started,textboxBS.started,cont_buttonBS.started,mouseBS.started,textboxBS.text,mouseBS.x,mouseBS.y,mouseBS.leftButton,mouseBS.midButton,mouseBS.rightButton,mouseBS.clicked_name,feedback_textBS.started,feedback_textBS.stopped,ThankYou.started,ThankYou.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.379733584006317,24.379733584006317,return,341.3424844160036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.7512261670199,365.7512261670199,return,4.661958874028642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.4401027090207,370.4401027090207,return,7.018961666006362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.49026687501464,377.49026687501464,return,20.77291429101024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
3,342,24,2,42,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.2917017500149,403.29158554199967,403.29158554199967,404.2914579999924,404.2914579999924,404.2914579999924,404.2914579999924,-0.0003588330000638962,342,1,-0.05,-0.39222222222222225,1,0,0,cont_buttonPractice,407.6915694170166,408.69181725001545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
3,937,73,2,37,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.6926220000023,413.6918777920073,413.6918777920073,414.6920592090173,414.6920592090173,414.6920592090173,414.6920592090173,-0.0003949170059058815,937,1,-0.024444444444444446,-0.42,1,0,0,cont_buttonPractice,417.45874674999504,418.4587587499991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.4587587499991,418.4587587499991,return,16.795978999027284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,1,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.27676383400103,436.2764132920129,436.2764132920129,437.27629987499677,"[6, 2, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,1,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.27629987499677,438.2771207920159,438.2771207920159,439.2763328750152,"[6, 2, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
,,,,,1,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.2763328750152,440.2767035420111,440.2767035420111,441.27684895900893,"[6, 2, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,2025-07-28_18h56.43.203,CGTriskyDMtask,2022.2.1,59.5761748506674,
