,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,5.0,0.5,0.75,49.0,0.0,25.2
1.0,25.0,3.0,5.0,0.5,0.75,59.34,0.0,20.67
2.0,25.0,3.0,5.0,0.5,1.75,41.4,0.0,29.7
3.0,25.0,3.0,5.0,0.5,1.75,47.99,0.0,25.82
4.0,25.0,3.0,5.0,0.5,1.25,53.19,0.0,23.92
5.0,5.0,1.0,16.0,0.5,0.75,7.21,0.0,5.72
6.0,5.0,1.0,16.0,0.5,1.75,13.57,0.0,4.11
7.0,5.0,1.0,16.0,0.5,1.75,12.52,0.0,3.3
8.0,5.0,1.0,16.0,0.5,1.25,1.84,0.0,9.92
9.0,5.0,1.0,16.0,0.5,1.75,2.56,0.0,9.28
10.0,5.0,1.0,16.0,0.5,1.25,13.57,0.0,4.11
11.0,5.0,1.0,16.0,0.5,0.75,19.58,0.0,0.79
12.0,5.0,1.0,16.0,0.5,0.75,12.03,0.0,3.9
13.0,5.0,1.0,16.0,0.5,0.75,19.58,0.0,0.79
14.0,5.0,1.0,16.0,0.5,1.25,2.56,0.0,9.28
15.0,5.0,1.0,16.0,0.5,0.75,8.75,0.0,5.36
16.0,5.0,1.0,16.0,0.5,1.25,19.58,0.0,0.79
17.0,5.0,1.0,16.0,0.5,0.75,12.21,0.0,4.56
18.0,5.0,1.0,16.0,0.5,0.75,7.36,0.0,6.92
19.0,5.0,1.0,16.0,0.5,0.75,8.87,0.0,5.7
20.0,5.0,1.0,16.0,0.5,1.75,2.56,0.0,9.28
21.0,25.0,3.0,16.0,0.5,1.25,52.97,0.0,24.37
22.0,25.0,3.0,16.0,0.5,0.75,50.33,0.0,24.18
23.0,25.0,3.0,16.0,0.5,0.75,46.56,0.0,26.8
24.0,25.0,3.0,16.0,0.5,1.25,50.5,0.0,25.39
25.0,25.0,3.0,16.0,0.5,0.75,52.97,0.0,24.09
26.0,25.0,3.0,16.0,0.5,1.75,47.99,0.0,25.82
27.0,25.0,3.0,16.0,0.5,0.75,50.5,0.0,25.39
28.0,25.0,3.0,16.0,0.5,1.75,50.16,0.0,25.5
29.0,25.0,3.0,16.0,0.5,1.25,41.4,0.0,29.7
30.0,25.0,3.0,16.0,0.5,1.75,51.97,0.0,24.44
31.0,25.0,3.0,16.0,0.5,0.75,50.66,0.0,25.19
32.0,25.0,3.0,16.0,0.5,0.75,57.14,0.0,21.57
33.0,25.0,3.0,16.0,0.5,0.75,55.5,0.0,21.75
34.0,25.0,3.0,16.0,0.5,1.25,46.72,0.0,26.6
35.0,25.0,3.0,16.0,0.5,1.75,47.99,0.0,25.82
36.0,25.0,3.0,16.0,0.5,0.75,49.0,0.0,25.2
37.0,15.0,2.0,5.0,0.5,1.75,31.33,0.0,14.4
38.0,15.0,2.0,5.0,0.5,0.75,28.49,0.0,16.64
39.0,15.0,2.0,5.0,0.5,1.25,29.52,0.0,14.62
40.0,15.0,2.0,5.0,0.5,0.75,32.86,0.0,13.47
41.0,15.0,2.0,5.0,0.5,1.75,29.49,0.0,16.01
42.0,5.0,1.0,5.0,0.5,1.25,8.23,0.0,6.79
43.0,5.0,1.0,5.0,0.5,0.75,7.36,0.0,6.92
44.0,5.0,1.0,5.0,0.5,1.75,10.51,0.0,3.99
45.0,5.0,1.0,5.0,0.5,1.25,16.82,0.0,2.41
46.0,5.0,1.0,5.0,0.5,1.25,14.3,0.0,3.63
47.0,15.0,2.0,16.0,0.5,0.75,27.02,0.0,16.47
48.0,15.0,2.0,16.0,0.5,1.25,32.83,0.0,13.74
49.0,15.0,2.0,16.0,0.5,0.75,35.08,0.0,11.54
50.0,15.0,2.0,16.0,0.5,0.75,28.49,0.0,16.64
51.0,15.0,2.0,16.0,0.5,1.75,32.45,0.0,14.11
52.0,15.0,2.0,16.0,0.5,1.75,27.02,0.0,16.47
53.0,15.0,2.0,16.0,0.5,1.75,29.52,0.0,14.62
54.0,15.0,2.0,16.0,0.5,0.75,30.22,0.0,15.53
55.0,15.0,2.0,16.0,0.5,0.75,32.37,0.0,14.36
56.0,15.0,2.0,16.0,0.5,0.75,30.6,0.0,14.6
57.0,15.0,2.0,16.0,0.5,1.25,30.22,0.0,15.53
58.0,15.0,2.0,16.0,0.5,1.75,30.01,0.0,15.99
59.0,15.0,2.0,16.0,0.5,0.75,25.68,0.0,16.36
60.0,15.0,2.0,16.0,0.5,0.75,26.02,0.0,16.25
61.0,15.0,2.0,16.0,0.5,0.75,21.4,0.0,19.7
62.0,15.0,2.0,16.0,0.5,0.75,31.33,0.0,14.4
63.0,25.0,3.0,5.0,0.5,1.25,53.06,0.0,23.01
64.0,25.0,3.0,5.0,0.5,1.25,50.5,0.0,25.39
65.0,25.0,3.0,5.0,0.5,1.25,55.5,0.0,21.75
66.0,25.0,3.0,5.0,0.5,0.75,48.91,0.0,26.0
