"percentile","earnings"
1,302.03
2,315.02
3,323.01
4,329.18
5,333.81
6,337.96
7,341.15
8,344.56
9,347.54
10,349.85
11,352.43
12,354.69
13,356.97
14,359.03
15,360.85
16,362.89
17,364.67
18,366.4782
19,368.24
20,369.72
21,371.42
22,372.96
23,374.48
24,375.99
25,377.5275
26,379
27,380.33
28,381.76
29,383.08
30,384.41
31,385.74
32,387.07
33,388.4
34,389.64
35,390.93
36,392.2
37,393.46
38,394.68
39,395.9
40,397.11
41,398.33
42,399.51
43,400.72
44,401.91
45,403.11
46,404.28
47,405.49
48,406.67
49,407.84
50,409.02
51,410.17
52,411.36
53,412.53
54,413.7
55,414.87
56,416.04
57,417.22
58,418.41
59,419.59
60,420.79
61,421.99
62,423.22
63,424.45
64,425.69
65,426.94
66,428.21
67,429.48
68,430.78
69,432.08
70,433.39
71,434.75
72,436.11
73,437.49
74,438.91
75,440.36
76,441.84
77,443.35
78,444.89
79,446.48
80,448.07
81,449.73
82,451.47
83,453.24
84,455.09
85,456.99
86,458.99
87,461.1
88,463.34
89,465.68
90,468.18
91,470.87
92,473.79
93,477
94,480.59
95,484.72
96,489.66
97,495.59
98,503.4
99,515.62
100,635.5
